consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training4.started,training4.stopped,trials4.thisRepN,trials4.thisTrialN,trials4.thisN,trials4.thisIndex,trials4.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59
"[""Item 1""]",346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,4,,58.0802,58.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,58.0803,71.5897,space,13.4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,71.6251,77.0896,0,0,0,44,1,45,PATHOS,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,77.0912,82.589,0,1,1,17,1,18,RURAL,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,82.5912,88.0889,0,2,2,12,1,13,CUTTING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,88.0898,93.589,0,3,3,36,1,37,INSIPID,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,93.5901,99.089,0,4,4,29,1,30,DEPLORE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,99.0901,104.589,0,5,5,31,1,32,ENMITY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,104.5906,110.089,0,6,6,2,1,3,ASSUME,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,110.0905,115.5892,0,7,7,27,1,28,CANDOR,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,115.5902,121.0893,0,8,8,5,1,6,SPEECH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,121.0912,126.5892,0,9,9,14,1,15,LEGAL,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,126.5907,132.089,0,10,10,19,1,20,MOTION,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,132.0904,137.5891,0,11,11,30,1,31,DETER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,137.5911,143.0893,0,12,12,7,1,8,FARTHER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,143.0912,148.5893,0,13,13,15,1,16,EXAMINE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,148.5917,154.0891,0,14,14,6,1,7,COOLING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,346373,001,2026-04-10_21h37.31.347,DFv2,2026.1.1,Win32,59.52380952,,,,,,,,,,154.0909,159.5893,0,15,15,41,1,42,NUANCE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
