consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q4_a,language_background_q.block_1/Q6,language_background_q.block_1/Q11,language_background_q.block_1/Q58,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q59,language_background_q.block_1/Q53,language_background_q.block_1/Q48,language_background_q.block_1/Q47,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q17,language_background_q.block_1/Q12,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
"[""Item 1""]",395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,3,,68.3457,68.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,68.3462,189.8936,space,121.5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,189.9277,195.3939,0,0,0,0,1,1,DEPTH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,195.3965,200.8933,0,1,1,15,1,16,EXAMINE,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,200.895,206.3936,0,2,2,18,1,19,CULTURE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,206.3953,211.8927,0,3,3,43,1,44,ORNATE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,211.8944,217.3935,0,4,4,29,1,30,DEPLORE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,217.3953,222.8926,0,5,5,41,1,42,NUANCE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,222.8946,228.3935,0,6,6,32,1,33,ESCHEW,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,228.395,233.8925,0,7,7,9,1,10,LISTEN,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,233.894,239.3928,0,8,8,38,1,39,LEVITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,239.3949,244.8934,0,9,9,42,1,43,OPULENT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,244.8949,250.3934,0,10,10,25,1,26,AMPLIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,250.3956,255.8926,0,11,11,47,1,48,PROBITY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,255.8939,261.3925,0,12,12,13,1,14,MASTER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,261.3941,266.8926,0,13,13,34,1,35,GARNER,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,266.8941,272.3925,0,14,14,3,1,4,SOMEHOW,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,272.394,277.8933,0,15,15,28,1,29,COPIOUS,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,395877,001,2026-04-15_13h34.26.429,DFv2,2026.1.1,MacIntel,59.52380952,,,,,,,,,,277.8952,283.3933,0,16,16,20,1,21,FICTION,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
