consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training2.started,training2.stopped,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,trials2.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q4,language_background_q.block_1/Q4-Comment,language_background_q.block_1/Q4_a,language_background_q.block_1/Q6,language_background_q.block_1/Q12,language_background_q.block_1/Q11,language_background_q.block_1/Q11-Comment,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q48,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
"[""Item 1""]",530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,2,,5.9707,5.9709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,5.9711,8.1133,space,2.0978,0.0195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,8.1395,13.6131,0,0,0,14,1,15,EMPTY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,13.6143,19.1125,0,1,1,5,1,6,POETIC,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,19.1144,24.6136,0,2,2,27,1,28,REFUTE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,24.6155,30.1137,0,3,3,8,1,9,SOLDIER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,30.1157,35.6137,0,4,4,17,1,18,FLIGHT,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,35.6159,41.1137,0,5,5,6,1,7,SLIGHT,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,41.1157,46.6143,0,6,6,41,1,42,MOLLIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,46.6161,52.1141,0,7,7,16,1,17,SUDDEN,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,52.116,57.6143,0,8,8,30,1,31,SEMINAL,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,57.6168,63.1143,0,9,9,28,1,29,REMORSE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,63.1164,68.6133,0,10,10,37,1,38,COERCE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,68.6154,74.1145,0,11,11,19,1,20,BURNING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,74.1165,79.6146,0,12,12,39,1,40,INEPT,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,79.6163,85.1147,0,13,13,0,1,1,LEADER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,85.1164,90.6148,0,14,14,42,1,43,PACIFY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,90.6167,96.115,0,15,15,34,1,35,BANAL,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,96.1165,101.6151,0,16,16,1,1,2,SOFTLY,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,101.6168,107.1152,0,17,17,25,1,26,PUERILE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,107.1167,112.6148,0,18,18,23,1,24,LEADING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,112.6169,118.1143,0,19,19,22,1,23,DECLINE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,118.1164,123.6155,0,20,20,32,1,33,TORPID,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,123.617,129.1156,0,21,21,43,1,44,PARAGON,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,129.1177,134.6158,0,22,22,44,1,45,PROFUSE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,134.6176,140.1158,0,23,23,3,1,4,RIDING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,140.1177,145.6159,0,24,24,36,1,37,AVARICE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,145.6179,151.1156,0,25,25,33,1,34,AMIABLE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,151.1269,156.6161,0,26,26,7,1,8,SERVING,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,156.6182,162.1162,0,27,27,29,1,30,REPLETE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,162.1179,167.6154,0,28,28,4,1,5,PARTNER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,167.6173,173.1165,0,29,29,11,1,12,BELIEF,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,173.119,178.6163,0,30,30,38,1,39,EPITOME,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,178.6178,184.1157,0,31,31,18,1,19,BRANCH,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,184.1173,189.6168,0,32,32,21,1,22,ENTER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,189.6184,195.117,0,33,33,2,1,3,ADDRESS,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,195.1186,200.6168,0,34,34,10,1,11,ANGRY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,200.6178,206.1165,0,35,35,35,1,36,APPEASE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,206.1201,211.6175,0,36,36,47,1,48,REBUKE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,211.6192,217.117,0,37,37,13,1,14,GRAVE,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,530510,001,2026-04-17_01h28.14.100,DFv2,2026.1.1,MacIntel,29.94011976,,,,,,,,,,217.1186,222.6175,0,38,38,12,1,13,WEATHER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
