consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training1.started,training1.stopped,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,language_background_q.block_1/Q60,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
"[""Item 1""]",643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,1,,187.3523,187.3524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,187.3526,219.4506,space,32.0638,0.0056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,219.4682,224.9509,0,0,0,1,1,2,SOFTLY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,224.9531,230.4501,0,1,1,4,1,5,PARTNER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,230.4518,235.9508,0,2,2,25,1,26,PUERILE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,235.9524,241.4509,0,3,3,39,1,40,INEPT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,241.4531,246.95,0,4,4,36,1,37,AVARICE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,246.9523,252.4507,0,5,5,18,1,19,BRANCH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,252.4526,257.951,0,6,6,19,1,20,BURNING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,257.953,263.451,0,7,7,41,1,42,MOLLIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,263.4525,268.9509,0,8,8,27,1,28,REFUTE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,268.9529,274.4509,0,9,9,11,1,12,BELIEF,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,274.4523,279.95,0,10,10,33,1,34,AMIABLE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,279.9514,285.4509,0,11,11,34,1,35,BANAL,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,285.4523,290.9509,0,12,12,16,1,17,SUDDEN,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,290.9526,296.45,0,13,13,44,1,45,PROFUSE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,296.4521,301.9514,0,14,14,22,1,23,DECLINE,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,301.9532,307.4512,0,15,15,8,1,9,SOLDIER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,307.4531,312.9512,0,16,16,47,1,48,REBUKE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,312.953,318.4515,0,17,17,40,1,41,LIBEL,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,318.453,323.9503,0,18,18,7,1,8,SERVING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,323.9518,329.4509,0,19,19,6,1,7,SLIGHT,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,329.4527,334.9516,0,20,20,26,1,27,RATIFY,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,334.9532,340.4504,0,21,21,38,1,39,EPITOME,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,340.452,345.9505,0,22,22,14,1,15,EMPTY,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,345.9522,351.4514,0,23,23,30,1,31,SEMINAL,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,351.4532,356.9505,0,24,24,17,1,18,FLIGHT,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,356.9519,362.4513,0,25,25,43,1,44,PARAGON,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,362.4529,367.9514,0,26,26,45,1,46,PROSAIC,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,367.9529,373.4518,0,27,27,20,1,21,SHOCK,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,373.4534,378.9517,0,28,28,35,1,36,APPEASE,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,378.9536,384.4516,0,29,29,15,1,16,REGION,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,384.4534,389.9516,0,30,30,0,1,1,LEADER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,389.9535,395.4507,0,31,31,5,1,6,POETIC,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,395.4521,400.9517,0,32,32,10,1,11,ANGRY,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,400.9535,406.452,0,33,33,3,1,4,RIDING,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,406.4537,411.9518,0,34,34,28,1,29,REMORSE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,411.9536,417.4519,0,35,35,42,1,43,PACIFY,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,417.4535,422.9519,0,36,36,31,1,32,SQUALID,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,422.9536,428.452,0,37,37,24,1,25,PROFANE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,428.4541,433.9521,0,38,38,12,1,13,WEATHER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,643907,001,2026-04-14_20h54.51.104,DFv2,2026.1.1,MacIntel,59.88023952,,,,,,,,,,433.9541,439.4519,0,39,39,13,1,14,GRAVE,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
