consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training1.started,training1.stopped,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials1.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started
"[""Item 1""]",687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,1,,41.4025,41.4026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,41.4026,42.8678,space,1.3613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,42.8891,48.3424,0,0,0,39,1,40,INEPT,hard,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,48.3437,53.8678,0,1,1,21,1,22,ENTER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,53.8694,59.3319,0,2,2,5,1,6,POETIC,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,59.3333,64.844,0,3,3,0,1,1,LEADER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,64.8456,70.338,0,4,4,16,1,17,SUDDEN,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,70.3393,75.852,0,5,5,1,1,2,SOFTLY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,75.8538,81.3719,0,6,6,12,1,13,WEATHER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,81.3728,86.8617,0,7,7,28,1,29,REMORSE,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,687528,001,2026-04-10_14h35.26.812,DFv2,2026.1.1,Win32,30.03003003,,,,,,,,,,86.8646,92.3468,0,8,8,18,1,19,BRANCH,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
