consent_form.block_1/question2,participant,session,date,expName,psychopyVersion,OS,frameRate,cbingDFv2.group,cbingDFv2.remaining,code.started,code.stopped,training_instruction.started,training_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,training3.started,training3.stopped,trials3.thisRepN,trials3.thisTrialN,trials3.thisN,trials3.thisIndex,trials3.ran,"ID",word,easy_hard,old_new,R_F,testing_instruction.started,testing_instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,testing_phase.started,testing_phase.stopped,testing_input.keys,testing_input.rt,testing_input.duration,testing.thisRepN,testing.thisTrialN,testing.thisN,testing.thisIndex,testing.ran,KFFRQ,ART_instruction.started,ART_instruction.stopped,ART.started,ART.stopped,key_resp_LDT.keys,key_resp_LDT.rt,key_resp_LDT.duration,ART_trials.thisRepN,ART_trials.thisTrialN,ART_trials.thisN,ART_trials.thisIndex,ART_trials.ran,Index,Author,real,LexTALE_instruction.started,LexTALE_instruction.stopped,LexTALE.started,LexTALE.stopped,key_resp_LDT_2.keys,key_resp_LDT_2.rt,key_resp_LDT_2.duration,LexTALE_trials.thisRepN,LexTALE_trials.thisTrialN,LexTALE_trials.thisN,LexTALE_trials.thisIndex,LexTALE_trials.ran,Word,Real,language_background_q.block_1/Q1,language_background_q.block_1/Q2,language_background_q.block_1/Q17,language_background_q.block_1/Q19,language_background_q.block_1/Q20,language_background_q.block_1/Q21,language_background_q.block_1/Q22,language_background_q.block_1/Q47,language_background_q.block_1/Q53,language_background_q.block_1/Q54,language_background_q.block_1/Q55,language_background_q.block_1/Q56,language_background_q.block_1/Q57.text1,language_background_q.block_1/Q57.text2,language_background_q.block_1/Q58,language_background_q.block_1/Q59,end.started,end.stopped,space_to_end.keys,space_to_end.rt,space_to_end.duration
"[""Item 1""]",90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,3,,7.2454,7.2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,7.2455,32.295,space,25.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,32.3177,37.795,0,0,0,11,1,12,LIBERTY,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,37.7968,43.2946,0,1,1,40,1,41,NASCENT,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,43.2963,48.7947,0,2,2,16,1,17,SUPPER,easy,old,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,48.7963,54.2947,0,3,3,3,1,4,SOMEHOW,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,54.2959,59.7945,0,4,4,1,1,2,CLOSER,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,59.7957,65.2944,0,5,5,28,1,29,COPIOUS,hard,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90310,001,2026-04-21_12h32.05.321,DFv2,2026.1.1,MacIntel,117.6470588,,,,,,,,,,65.2959,70.7948,0,6,6,22,1,23,GUARD,easy,old,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
